host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2845,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,2,355
4632,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,0.0,1,365
4869,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,4.64,1,194
7192,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0
7322,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129
8967,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,1,220
7490,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0
7702,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6
7989,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,1,39
9744,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314
11528,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91,1,333
15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46
17571,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321
18946,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,1,12
20950,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21
17985,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249
21207,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,0.07,1,0
25183,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233
25326,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,2,85
26394,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,0.0,1,0
30193,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75
31374,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,3,311
32294,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04,3,355
32045,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,1,255
32169,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,1.65,3,284
32294,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2.37,3,359
35935,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,2,269
9744,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,1.41,3,340
44145,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,1.96,2,22
45445,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,0.0,1,365
46978,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08,2,96
47610,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345
47618,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,1,311
16800,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,1,273
47727,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84,1,309
50124,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2.25,1,215
50148,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265
50846,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0
52335,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192
